,Unnamed: 0,close,date,high,low,open,volume
9,9.0,710.95,2021-06-24 10:00:00+05:30,712.0,709.0,711.55,453923.0
10,10.0,710.5,2021-06-24 10:05:00+05:30,712.5,710.0,710.65,234069.0
11,11.0,708.95,2021-06-24 10:10:00+05:30,710.7,708.25,710.25,311430.0
12,12.0,710.0,2021-06-24 10:15:00+05:30,710.4,708.3,708.6,286477.0
13,13.0,709.0,2021-06-24 10:20:00+05:30,710.5,708.5,710.35,154520.0
14,14.0,711.0,2021-06-24 10:25:00+05:30,711.4,709.0,709.0,237569.0
15,15.0,710.2,2021-06-24 10:30:00+05:30,711.45,709.5,710.8,159199.0
16,16.0,712.95,2021-06-24 10:35:00+05:30,712.95,710.2,710.3,266548.0
17,17.0,713.3,2021-06-24 10:40:00+05:30,714.0,712.15,712.75,238093.0
18,18.0,711.3,2021-06-24 10:45:00+05:30,713.35,711.05,713.1,145934.0
19,19.0,711.0,2021-06-24 10:50:00+05:30,711.9,709.5,711.3,193398.0
20,20.0,710.9,2021-06-24 10:55:00+05:30,711.15,709.6,710.75,114895.0
84,84.0,711.1,2021-06-25 10:00:00+05:30,714.05,711.1,714.0,130357.0
85,85.0,712.05,2021-06-25 10:05:00+05:30,712.55,711.0,711.25,146248.0
86,86.0,712.0,2021-06-25 10:10:00+05:30,713.6,710.45,712.3,175045.0
87,87.0,712.5,2021-06-25 10:15:00+05:30,712.5,711.2,712.1,78104.0
88,88.0,712.0,2021-06-25 10:20:00+05:30,713.0,711.45,712.3,81532.0
89,89.0,711.55,2021-06-25 10:25:00+05:30,712.3,711.1,712.15,66651.0
90,90.0,712.15,2021-06-25 10:30:00+05:30,713.6,711.5,711.5,105348.0
91,91.0,712.5,2021-06-25 10:35:00+05:30,713.0,711.5,712.15,58069.0
92,92.0,711.0,2021-06-25 10:40:00+05:30,712.75,710.0,712.45,200436.0
93,93.0,710.95,2021-06-25 10:45:00+05:30,711.5,710.5,711.15,89530.0
94,94.0,711.4,2021-06-25 10:50:00+05:30,711.5,710.2,711.0,107955.0
95,95.0,710.55,2021-06-25 10:55:00+05:30,711.95,710.1,711.4,75273.0
159,159.0,721.5,2021-06-28 10:00:00+05:30,721.5,719.05,720.65,262201.0
160,160.0,721.0,2021-06-28 10:05:00+05:30,722.5,720.4,721.2,206045.0
161,161.0,721.1,2021-06-28 10:10:00+05:30,721.5,720.6,721.0,89315.0
162,162.0,721.3,2021-06-28 10:15:00+05:30,721.5,720.0,721.05,115215.0
163,163.0,723.3,2021-06-28 10:20:00+05:30,723.5,721.0,721.2,168540.0
164,164.0,725.55,2021-06-28 10:25:00+05:30,727.0,723.1,723.5,514242.0
165,165.0,727.1,2021-06-28 10:30:00+05:30,729.9,725.7,725.95,607019.0
166,166.0,724.0,2021-06-28 10:35:00+05:30,727.3,723.6,727.25,372294.0
167,167.0,724.55,2021-06-28 10:40:00+05:30,725.5,723.35,724.0,185415.0
168,168.0,725.7,2021-06-28 10:45:00+05:30,726.0,723.2,724.65,175123.0
169,169.0,725.0,2021-06-28 10:50:00+05:30,726.0,724.55,725.95,97175.0
170,170.0,725.2,2021-06-28 10:55:00+05:30,725.8,724.5,724.6,64728.0
234,234.0,716.6,2021-06-29 10:00:00+05:30,717.95,716.0,717.8,166410.0
235,235.0,716.1,2021-06-29 10:05:00+05:30,717.5,715.5,716.6,140444.0
236,236.0,716.75,2021-06-29 10:10:00+05:30,717.7,716.1,716.2,100244.0
237,237.0,717.75,2021-06-29 10:15:00+05:30,717.75,716.5,716.75,94535.0
238,238.0,716.85,2021-06-29 10:20:00+05:30,718.1,716.65,717.65,100236.0
239,239.0,715.9,2021-06-29 10:25:00+05:30,717.25,715.5,717.0,144600.0
240,240.0,715.3,2021-06-29 10:30:00+05:30,715.9,714.15,715.9,193409.0
241,241.0,714.5,2021-06-29 10:35:00+05:30,715.6,713.95,715.6,120259.0
242,242.0,714.8,2021-06-29 10:40:00+05:30,715.9,714.0,714.3,126848.0
243,243.0,715.1,2021-06-29 10:45:00+05:30,715.85,714.45,714.8,76692.0
244,244.0,715.0,2021-06-29 10:50:00+05:30,715.45,714.8,715.4,51591.0
245,245.0,712.65,2021-06-29 10:55:00+05:30,715.45,712.2,715.0,181105.0
309,309.0,706.0,2021-06-30 10:00:00+05:30,706.4,704.5,704.95,148241.0
310,310.0,706.9,2021-06-30 10:05:00+05:30,707.0,705.3,706.0,126418.0
311,311.0,705.25,2021-06-30 10:10:00+05:30,707.0,705.25,706.9,118146.0
