,epoch,status,utc,pst
0,1643777125000.0,0.0,2022-02-02 04:45:25,2022-02-01 15:15:25
1,1643777185000.0,0.0,2022-02-02 04:46:25,2022-02-01 15:16:25
2,1643777245000.0,0.0,2022-02-02 04:47:25,2022-02-01 15:17:25
3,1643777305000.0,0.0,2022-02-02 04:48:25,2022-02-01 15:18:25
4,1643777365000.0,0.0,2022-02-02 04:49:25,2022-02-01 15:19:25
5,1643777425000.0,0.0,2022-02-02 04:50:25,2022-02-01 15:20:25
6,1643777485000.0,0.0,2022-02-02 04:51:25,2022-02-01 15:21:25
7,1643777545000.0,0.0,2022-02-02 04:52:25,2022-02-01 15:22:25
8,1643777605000.0,0.0,2022-02-02 04:53:25,2022-02-01 15:23:25
9,1643777665000.0,0.0,2022-02-02 04:54:25,2022-02-01 15:24:25
10,1643777725000.0,0.0,2022-02-02 04:55:25,2022-02-01 15:25:25
11,1643777785000.0,0.0,2022-02-02 04:56:25,2022-02-01 15:26:25
12,1643777845000.0,0.0,2022-02-02 04:57:25,2022-02-01 15:27:25
13,1643777905000.0,0.0,2022-02-02 04:58:25,2022-02-01 15:28:25
14,1643777965000.0,0.0,2022-02-02 04:59:25,2022-02-01 15:29:25
15,1643778025000.0,0.0,2022-02-02 05:00:25,2022-02-01 15:30:25
16,1643778085000.0,0.0,2022-02-02 05:01:25,2022-02-01 15:31:25
17,1643778145000.0,0.0,2022-02-02 05:02:25,2022-02-01 15:32:25
18,1643778205000.0,0.0,2022-02-02 05:03:25,2022-02-01 15:33:25
19,1643778265000.0,0.0,2022-02-02 05:04:25,2022-02-01 15:34:25
20,1643778325000.0,0.0,2022-02-02 05:05:25,2022-02-01 15:35:25
21,1643778385000.0,0.0,2022-02-02 05:06:25,2022-02-01 15:36:25
22,1643778445000.0,0.0,2022-02-02 05:07:25,2022-02-01 15:37:25
23,1643778505000.0,0.0,2022-02-02 05:08:25,2022-02-01 15:38:25
24,1643778565000.0,0.0,2022-02-02 05:09:25,2022-02-01 15:39:25
25,1643778625000.0,0.0,2022-02-02 05:10:25,2022-02-01 15:40:25
26,1643778685000.0,0.0,2022-02-02 05:11:25,2022-02-01 15:41:25
27,1643778745000.0,0.0,2022-02-02 05:12:25,2022-02-01 15:42:25
28,1643778805000.0,0.0,2022-02-02 05:13:25,2022-02-01 15:43:25
29,1643778865000.0,0.0,2022-02-02 05:14:25,2022-02-01 15:44:25
30,1643778925000.0,0.0,2022-02-02 05:15:25,2022-02-01 15:45:25
31,1643778985000.0,0.0,2022-02-02 05:16:25,2022-02-01 15:46:25
32,1643779045000.0,0.0,2022-02-02 05:17:25,2022-02-01 15:47:25
33,1643779105000.0,0.0,2022-02-02 05:18:25,2022-02-01 15:48:25
34,1643779165000.0,0.0,2022-02-02 05:19:25,2022-02-01 15:49:25
35,1643779225000.0,0.0,2022-02-02 05:20:25,2022-02-01 15:50:25
36,1643779285000.0,0.0,2022-02-02 05:21:25,2022-02-01 15:51:25
37,1643779345000.0,0.0,2022-02-02 05:22:25,2022-02-01 15:52:25
38,1643779405000.0,0.0,2022-02-02 05:23:25,2022-02-01 15:53:25
39,1643779465000.0,0.0,2022-02-02 05:24:25,2022-02-01 15:54:25
40,1643779525000.0,0.0,2022-02-02 05:25:25,2022-02-01 15:55:25
41,1643779585000.0,0.0,2022-02-02 05:26:25,2022-02-01 15:56:25
42,1643779645000.0,0.0,2022-02-02 05:27:25,2022-02-01 15:57:25
43,1643779705000.0,0.0,2022-02-02 05:28:25,2022-02-01 15:58:25
44,1643779765000.0,0.0,2022-02-02 05:29:25,2022-02-01 15:59:25
45,1643779825000.0,0.0,2022-02-02 05:30:25,2022-02-01 16:00:25
46,1643779885000.0,0.0,2022-02-02 05:31:25,2022-02-01 16:01:25
47,1643779945000.0,0.0,2022-02-02 05:32:25,2022-02-01 16:02:25
48,1643780005000.0,0.0,2022-02-02 05:33:25,2022-02-01 16:03:25
49,1643780065000.0,0.0,2022-02-02 05:34:25,2022-02-01 16:04:25
50,1643780125000.0,0.0,2022-02-02 05:35:25,2022-02-01 16:05:25
51,1643780185000.0,0.0,2022-02-02 05:36:25,2022-02-01 16:06:25
52,1643780245000.0,0.0,2022-02-02 05:37:25,2022-02-01 16:07:25
53,1643780305000.0,0.0,2022-02-02 05:38:25,2022-02-01 16:08:25
54,1643780365000.0,0.0,2022-02-02 05:39:25,2022-02-01 16:09:25
55,1643780425000.0,0.0,2022-02-02 05:40:25,2022-02-01 16:10:25
56,1643780485000.0,0.0,2022-02-02 05:41:25,2022-02-01 16:11:25
57,1643780545000.0,0.0,2022-02-02 05:42:25,2022-02-01 16:12:25
58,1643780605000.0,0.0,2022-02-02 05:43:25,2022-02-01 16:13:25
59,1643780665000.0,0.0,2022-02-02 05:44:25,2022-02-01 16:14:25
60,1643780725000.0,0.0,2022-02-02 05:45:25,2022-02-01 16:15:25
61,1643780785000.0,0.0,2022-02-02 05:46:25,2022-02-01 16:16:25
62,1643780845000.0,0.0,2022-02-02 05:47:25,2022-02-01 16:17:25
63,1643780905000.0,0.0,2022-02-02 05:48:25,2022-02-01 16:18:25
64,1643780965000.0,0.0,2022-02-02 05:49:25,2022-02-01 16:19:25
65,1643781025000.0,0.0,2022-02-02 05:50:25,2022-02-01 16:20:25
66,1643781680000.0,0.0,2022-02-02 06:01:20,2022-02-01 16:31:20
67,1643781684000.0,0.0,2022-02-02 06:01:24,2022-02-01 16:31:24
68,1643781744000.0,0.0,2022-02-02 06:02:24,2022-02-01 16:32:24
69,1643781804000.0,0.0,2022-02-02 06:03:24,2022-02-01 16:33:24
70,1643781864000.0,0.0,2022-02-02 06:04:24,2022-02-01 16:34:24
71,1643781924000.0,0.0,2022-02-02 06:05:24,2022-02-01 16:35:24
72,1643781984000.0,0.0,2022-02-02 06:06:24,2022-02-01 16:36:24
73,1643782044000.0,0.0,2022-02-02 06:07:24,2022-02-01 16:37:24
74,1643782104000.0,0.0,2022-02-02 06:08:24,2022-02-01 16:38:24
75,1643782164000.0,0.0,2022-02-02 06:09:24,2022-02-01 16:39:24
76,1643782224000.0,0.0,2022-02-02 06:10:24,2022-02-01 16:40:24
77,1643782284000.0,0.0,2022-02-02 06:11:24,2022-02-01 16:41:24
78,1643782344000.0,0.0,2022-02-02 06:12:24,2022-02-01 16:42:24
79,1643782404000.0,0.0,2022-02-02 06:13:24,2022-02-01 16:43:24
80,1643782464000.0,0.0,2022-02-02 06:14:24,2022-02-01 16:44:24
81,1643782467000.0,0.0,2022-02-02 06:14:27,2022-02-01 16:44:27
82,1643782524000.0,0.0,2022-02-02 06:15:24,2022-02-01 16:45:24
