,epoch,status,utc,pst
0,1654832726000.0,0.0,2022-06-10 03:45:26,2022-06-09 15:15:26
1,1654832786000.0,0.0,2022-06-10 03:46:26,2022-06-09 15:16:26
2,1654832846000.0,0.0,2022-06-10 03:47:26,2022-06-09 15:17:26
3,1654832906000.0,0.0,2022-06-10 03:48:26,2022-06-09 15:18:26
4,1654832966000.0,0.0,2022-06-10 03:49:26,2022-06-09 15:19:26
5,1654833026000.0,0.0,2022-06-10 03:50:26,2022-06-09 15:20:26
6,1654833086000.0,0.0,2022-06-10 03:51:26,2022-06-09 15:21:26
7,1654833146000.0,0.0,2022-06-10 03:52:26,2022-06-09 15:22:26
8,1654833206000.0,0.0,2022-06-10 03:53:26,2022-06-09 15:23:26
9,1654833266000.0,0.0,2022-06-10 03:54:26,2022-06-09 15:24:26
10,1654833326000.0,0.0,2022-06-10 03:55:26,2022-06-09 15:25:26
11,1654833386000.0,0.0,2022-06-10 03:56:26,2022-06-09 15:26:26
12,1654833446000.0,0.0,2022-06-10 03:57:26,2022-06-09 15:27:26
13,1654833506000.0,0.0,2022-06-10 03:58:26,2022-06-09 15:28:26
14,1654833566000.0,0.0,2022-06-10 03:59:26,2022-06-09 15:29:26
15,1654833626000.0,0.0,2022-06-10 04:00:26,2022-06-09 15:30:26
16,1654833686000.0,0.0,2022-06-10 04:01:26,2022-06-09 15:31:26
17,1654833746000.0,0.0,2022-06-10 04:02:26,2022-06-09 15:32:26
18,1654833806000.0,0.0,2022-06-10 04:03:26,2022-06-09 15:33:26
19,1654833866000.0,0.0,2022-06-10 04:04:26,2022-06-09 15:34:26
20,1654833926000.0,0.0,2022-06-10 04:05:26,2022-06-09 15:35:26
21,1654833986000.0,0.0,2022-06-10 04:06:26,2022-06-09 15:36:26
22,1654834046000.0,0.0,2022-06-10 04:07:26,2022-06-09 15:37:26
23,1654834106000.0,0.0,2022-06-10 04:08:26,2022-06-09 15:38:26
24,1654834166000.0,0.0,2022-06-10 04:09:26,2022-06-09 15:39:26
25,1654834226000.0,0.0,2022-06-10 04:10:26,2022-06-09 15:40:26
26,1654834286000.0,0.0,2022-06-10 04:11:26,2022-06-09 15:41:26
27,1654834346000.0,0.0,2022-06-10 04:12:26,2022-06-09 15:42:26
28,1654834406000.0,0.0,2022-06-10 04:13:26,2022-06-09 15:43:26
29,1654834466000.0,0.0,2022-06-10 04:14:26,2022-06-09 15:44:26
30,1654834526000.0,0.0,2022-06-10 04:15:26,2022-06-09 15:45:26
31,1654834586000.0,0.0,2022-06-10 04:16:26,2022-06-09 15:46:26
32,1654834646000.0,0.0,2022-06-10 04:17:26,2022-06-09 15:47:26
33,1654834706000.0,0.0,2022-06-10 04:18:26,2022-06-09 15:48:26
34,1654834766000.0,0.0,2022-06-10 04:19:26,2022-06-09 15:49:26
35,1654834826000.0,0.0,2022-06-10 04:20:26,2022-06-09 15:50:26
36,1654834886000.0,0.0,2022-06-10 04:21:26,2022-06-09 15:51:26
37,1654834946000.0,0.0,2022-06-10 04:22:26,2022-06-09 15:52:26
38,1654835006000.0,0.0,2022-06-10 04:23:26,2022-06-09 15:53:26
39,1654835066000.0,0.0,2022-06-10 04:24:26,2022-06-09 15:54:26
40,1654835126000.0,0.0,2022-06-10 04:25:26,2022-06-09 15:55:26
41,1654835186000.0,0.0,2022-06-10 04:26:26,2022-06-09 15:56:26
42,1654835246000.0,0.0,2022-06-10 04:27:26,2022-06-09 15:57:26
43,1654835306000.0,0.0,2022-06-10 04:28:26,2022-06-09 15:58:26
44,1654835366000.0,0.0,2022-06-10 04:29:26,2022-06-09 15:59:26
45,1654835426000.0,0.0,2022-06-10 04:30:26,2022-06-09 16:00:26
46,1654835486000.0,0.0,2022-06-10 04:31:26,2022-06-09 16:01:26
47,1654835546000.0,0.0,2022-06-10 04:32:26,2022-06-09 16:02:26
48,1654835606000.0,0.0,2022-06-10 04:33:26,2022-06-09 16:03:26
49,1654835666000.0,0.0,2022-06-10 04:34:26,2022-06-09 16:04:26
50,1654835726000.0,0.0,2022-06-10 04:35:26,2022-06-09 16:05:26
51,1654835786000.0,0.0,2022-06-10 04:36:26,2022-06-09 16:06:26
52,1654835846000.0,0.0,2022-06-10 04:37:26,2022-06-09 16:07:26
53,1654835906000.0,0.0,2022-06-10 04:38:26,2022-06-09 16:08:26
54,1654835966000.0,0.0,2022-06-10 04:39:26,2022-06-09 16:09:26
55,1654836026000.0,0.0,2022-06-10 04:40:26,2022-06-09 16:10:26
56,1654836086000.0,0.0,2022-06-10 04:41:26,2022-06-09 16:11:26
57,1654836146000.0,0.0,2022-06-10 04:42:26,2022-06-09 16:12:26
58,1654836206000.0,0.0,2022-06-10 04:43:26,2022-06-09 16:13:26
59,1654836266000.0,0.0,2022-06-10 04:44:26,2022-06-09 16:14:26
60,1654836326000.0,0.0,2022-06-10 04:45:26,2022-06-09 16:15:26
61,1654836386000.0,0.0,2022-06-10 04:46:26,2022-06-09 16:16:26
62,1654836446000.0,0.0,2022-06-10 04:47:26,2022-06-09 16:17:26
63,1654836506000.0,0.0,2022-06-10 04:48:26,2022-06-09 16:18:26
64,1654836566000.0,0.0,2022-06-10 04:49:26,2022-06-09 16:19:26
65,1654836626000.0,0.0,2022-06-10 04:50:26,2022-06-09 16:20:26
66,1654836686000.0,0.0,2022-06-10 04:51:26,2022-06-09 16:21:26
67,1654836746000.0,0.0,2022-06-10 04:52:26,2022-06-09 16:22:26
68,1654836806000.0,0.0,2022-06-10 04:53:26,2022-06-09 16:23:26
69,1654836866000.0,0.0,2022-06-10 04:54:26,2022-06-09 16:24:26
70,1654836926000.0,0.0,2022-06-10 04:55:26,2022-06-09 16:25:26
71,1654836986000.0,0.0,2022-06-10 04:56:26,2022-06-09 16:26:26
72,1654837046000.0,0.0,2022-06-10 04:57:26,2022-06-09 16:27:26
73,1654837106000.0,0.0,2022-06-10 04:58:26,2022-06-09 16:28:26
74,1654837166000.0,0.0,2022-06-10 04:59:26,2022-06-09 16:29:26
75,1654837226000.0,0.0,2022-06-10 05:00:26,2022-06-09 16:30:26
