,epoch,status,utc,pst
0,1638161112000.0,0.0,2021-11-29 04:45:12,2021-11-28 15:15:12
1,1638161172000.0,0.0,2021-11-29 04:46:12,2021-11-28 15:16:12
2,1638161232000.0,0.0,2021-11-29 04:47:12,2021-11-28 15:17:12
3,1638161292000.0,0.0,2021-11-29 04:48:12,2021-11-28 15:18:12
4,1638161352000.0,0.0,2021-11-29 04:49:12,2021-11-28 15:19:12
5,1638161412000.0,0.0,2021-11-29 04:50:12,2021-11-28 15:20:12
6,1638161472000.0,0.0,2021-11-29 04:51:12,2021-11-28 15:21:12
7,1638161532000.0,0.0,2021-11-29 04:52:12,2021-11-28 15:22:12
8,1638161592000.0,0.0,2021-11-29 04:53:12,2021-11-28 15:23:12
9,1638161652000.0,0.0,2021-11-29 04:54:12,2021-11-28 15:24:12
10,1638161712000.0,0.0,2021-11-29 04:55:12,2021-11-28 15:25:12
11,1638161772000.0,0.0,2021-11-29 04:56:12,2021-11-28 15:26:12
12,1638161832000.0,0.0,2021-11-29 04:57:12,2021-11-28 15:27:12
13,1638161892000.0,0.0,2021-11-29 04:58:12,2021-11-28 15:28:12
14,1638161952000.0,0.0,2021-11-29 04:59:12,2021-11-28 15:29:12
15,1638162012000.0,0.0,2021-11-29 05:00:12,2021-11-28 15:30:12
16,1638162072000.0,0.0,2021-11-29 05:01:12,2021-11-28 15:31:12
17,1638162132000.0,0.0,2021-11-29 05:02:12,2021-11-28 15:32:12
18,1638162192000.0,0.0,2021-11-29 05:03:12,2021-11-28 15:33:12
19,1638162252000.0,0.0,2021-11-29 05:04:12,2021-11-28 15:34:12
20,1638162312000.0,0.0,2021-11-29 05:05:12,2021-11-28 15:35:12
21,1638162372000.0,0.0,2021-11-29 05:06:12,2021-11-28 15:36:12
22,1638162432000.0,0.0,2021-11-29 05:07:12,2021-11-28 15:37:12
23,1638162492000.0,0.0,2021-11-29 05:08:12,2021-11-28 15:38:12
24,1638162552000.0,0.0,2021-11-29 05:09:12,2021-11-28 15:39:12
25,1638162612000.0,0.0,2021-11-29 05:10:12,2021-11-28 15:40:12
26,1638162672000.0,0.0,2021-11-29 05:11:12,2021-11-28 15:41:12
27,1638162732000.0,0.0,2021-11-29 05:12:12,2021-11-28 15:42:12
28,1638162792000.0,0.0,2021-11-29 05:13:12,2021-11-28 15:43:12
29,1638162852000.0,0.0,2021-11-29 05:14:12,2021-11-28 15:44:12
30,1638162912000.0,0.0,2021-11-29 05:15:12,2021-11-28 15:45:12
31,1638162972000.0,0.0,2021-11-29 05:16:12,2021-11-28 15:46:12
32,1638163032000.0,0.0,2021-11-29 05:17:12,2021-11-28 15:47:12
33,1638163092000.0,0.0,2021-11-29 05:18:12,2021-11-28 15:48:12
34,1638163152000.0,0.0,2021-11-29 05:19:12,2021-11-28 15:49:12
35,1638163212000.0,0.0,2021-11-29 05:20:12,2021-11-28 15:50:12
36,1638163272000.0,0.0,2021-11-29 05:21:12,2021-11-28 15:51:12
37,1638163332000.0,0.0,2021-11-29 05:22:12,2021-11-28 15:52:12
38,1638163392000.0,0.0,2021-11-29 05:23:12,2021-11-28 15:53:12
39,1638163452000.0,0.0,2021-11-29 05:24:12,2021-11-28 15:54:12
40,1638163512000.0,0.0,2021-11-29 05:25:12,2021-11-28 15:55:12
41,1638163572000.0,0.0,2021-11-29 05:26:12,2021-11-28 15:56:12
42,1638163632000.0,0.0,2021-11-29 05:27:12,2021-11-28 15:57:12
43,1638163692000.0,0.0,2021-11-29 05:28:12,2021-11-28 15:58:12
44,1638163752000.0,0.0,2021-11-29 05:29:12,2021-11-28 15:59:12
45,1638163812000.0,0.0,2021-11-29 05:30:12,2021-11-28 16:00:12
46,1638163872000.0,0.0,2021-11-29 05:31:12,2021-11-28 16:01:12
47,1638163932000.0,0.0,2021-11-29 05:32:12,2021-11-28 16:02:12
48,1638163992000.0,0.0,2021-11-29 05:33:12,2021-11-28 16:03:12
49,1638164052000.0,0.0,2021-11-29 05:34:12,2021-11-28 16:04:12
50,1638164112000.0,0.0,2021-11-29 05:35:12,2021-11-28 16:05:12
51,1638164172000.0,0.0,2021-11-29 05:36:12,2021-11-28 16:06:12
52,1638164232000.0,0.0,2021-11-29 05:37:12,2021-11-28 16:07:12
53,1638164292000.0,0.0,2021-11-29 05:38:12,2021-11-28 16:08:12
54,1638164352000.0,0.0,2021-11-29 05:39:12,2021-11-28 16:09:12
55,1638164412000.0,0.0,2021-11-29 05:40:12,2021-11-28 16:10:12
56,1638164472000.0,0.0,2021-11-29 05:41:12,2021-11-28 16:11:12
57,1638164532000.0,0.0,2021-11-29 05:42:12,2021-11-28 16:12:12
58,1638164592000.0,0.0,2021-11-29 05:43:12,2021-11-28 16:13:12
59,1638164652000.0,0.0,2021-11-29 05:44:12,2021-11-28 16:14:12
60,1638164712000.0,0.0,2021-11-29 05:45:12,2021-11-28 16:15:12
61,1638164772000.0,0.0,2021-11-29 05:46:12,2021-11-28 16:16:12
62,1638164832000.0,0.0,2021-11-29 05:47:12,2021-11-28 16:17:12
63,1638164892000.0,0.0,2021-11-29 05:48:12,2021-11-28 16:18:12
64,1638164952000.0,0.0,2021-11-29 05:49:12,2021-11-28 16:19:12
65,1638165012000.0,0.0,2021-11-29 05:50:12,2021-11-28 16:20:12
66,1638165072000.0,0.0,2021-11-29 05:51:12,2021-11-28 16:21:12
67,1638165132000.0,0.0,2021-11-29 05:52:12,2021-11-28 16:22:12
68,1638165192000.0,0.0,2021-11-29 05:53:12,2021-11-28 16:23:12
69,1638165252000.0,0.0,2021-11-29 05:54:12,2021-11-28 16:24:12
70,1638165312000.0,0.0,2021-11-29 05:55:12,2021-11-28 16:25:12
71,1638165372000.0,0.0,2021-11-29 05:56:12,2021-11-28 16:26:12
72,1638165432000.0,0.0,2021-11-29 05:57:12,2021-11-28 16:27:12
73,1638165492000.0,0.0,2021-11-29 05:58:12,2021-11-28 16:28:12
74,1638165552000.0,0.0,2021-11-29 05:59:12,2021-11-28 16:29:12
75,1638165612000.0,0.0,2021-11-29 06:00:12,2021-11-28 16:30:12
76,1638165672000.0,0.0,2021-11-29 06:01:12,2021-11-28 16:31:12
77,1638165732000.0,0.0,2021-11-29 06:02:12,2021-11-28 16:32:12
78,1638165792000.0,0.0,2021-11-29 06:03:12,2021-11-28 16:33:12
79,1638165852000.0,0.0,2021-11-29 06:04:12,2021-11-28 16:34:12
80,1638165912000.0,0.0,2021-11-29 06:05:12,2021-11-28 16:35:12
81,1638165972000.0,0.0,2021-11-29 06:06:12,2021-11-28 16:36:12
82,1638166032000.0,0.0,2021-11-29 06:07:12,2021-11-28 16:37:12
83,1638166092000.0,0.0,2021-11-29 06:08:12,2021-11-28 16:38:12
84,1638166152000.0,0.0,2021-11-29 06:09:12,2021-11-28 16:39:12
85,1638166212000.0,0.0,2021-11-29 06:10:12,2021-11-28 16:40:12
86,1638166272000.0,0.0,2021-11-29 06:11:12,2021-11-28 16:41:12
87,1638166332000.0,0.0,2021-11-29 06:12:12,2021-11-28 16:42:12
88,1638166392000.0,0.0,2021-11-29 06:13:12,2021-11-28 16:43:12
89,1638166452000.0,0.0,2021-11-29 06:14:12,2021-11-28 16:44:12
90,1638166512000.0,0.0,2021-11-29 06:15:12,2021-11-28 16:45:12
91,1638166572000.0,0.0,2021-11-29 06:16:12,2021-11-28 16:46:12
92,1638166632000.0,0.0,2021-11-29 06:17:12,2021-11-28 16:47:12
93,1638166692000.0,0.0,2021-11-29 06:18:12,2021-11-28 16:48:12
94,1638166752000.0,0.0,2021-11-29 06:19:12,2021-11-28 16:49:12
95,1638166812000.0,0.0,2021-11-29 06:20:12,2021-11-28 16:50:12
96,1638166872000.0,0.0,2021-11-29 06:21:12,2021-11-28 16:51:12
97,1638166932000.0,0.0,2021-11-29 06:22:12,2021-11-28 16:52:12
98,1638166992000.0,0.0,2021-11-29 06:23:12,2021-11-28 16:53:12
99,1638167052000.0,0.0,2021-11-29 06:24:12,2021-11-28 16:54:12
100,1638167112000.0,0.0,2021-11-29 06:25:12,2021-11-28 16:55:12
101,1638167172000.0,0.0,2021-11-29 06:26:12,2021-11-28 16:56:12
102,1638167232000.0,0.0,2021-11-29 06:27:12,2021-11-28 16:57:12
103,1638167292000.0,0.0,2021-11-29 06:28:12,2021-11-28 16:58:12
104,1638167352000.0,0.0,2021-11-29 06:29:12,2021-11-28 16:59:12
105,1638167412000.0,0.0,2021-11-29 06:30:12,2021-11-28 17:00:12
106,1638167472000.0,0.0,2021-11-29 06:31:12,2021-11-28 17:01:12
107,1638167532000.0,0.0,2021-11-29 06:32:12,2021-11-28 17:02:12
108,1638167592000.0,0.0,2021-11-29 06:33:12,2021-11-28 17:03:12
109,1638167652000.0,0.0,2021-11-29 06:34:12,2021-11-28 17:04:12
110,1638167712000.0,0.0,2021-11-29 06:35:12,2021-11-28 17:05:12
111,1638167772000.0,0.0,2021-11-29 06:36:12,2021-11-28 17:06:12
112,1638167832000.0,0.0,2021-11-29 06:37:12,2021-11-28 17:07:12
113,1638167892000.0,0.0,2021-11-29 06:38:12,2021-11-28 17:08:12
114,1638167952000.0,0.0,2021-11-29 06:39:12,2021-11-28 17:09:12
115,1638168012000.0,0.0,2021-11-29 06:40:12,2021-11-28 17:10:12
116,1638168072000.0,0.0,2021-11-29 06:41:12,2021-11-28 17:11:12
117,1638168132000.0,0.0,2021-11-29 06:42:12,2021-11-28 17:12:12
118,1638168192000.0,0.0,2021-11-29 06:43:12,2021-11-28 17:13:12
119,1638168252000.0,0.0,2021-11-29 06:44:12,2021-11-28 17:14:12
120,1638168312000.0,0.0,2021-11-29 06:45:12,2021-11-28 17:15:12
121,1638168372000.0,0.0,2021-11-29 06:46:12,2021-11-28 17:16:12
122,1638168432000.0,0.0,2021-11-29 06:47:12,2021-11-28 17:17:12
123,1638168492000.0,0.0,2021-11-29 06:48:12,2021-11-28 17:18:12
124,1638168552000.0,0.0,2021-11-29 06:49:12,2021-11-28 17:19:12
125,1638168612000.0,0.0,2021-11-29 06:50:12,2021-11-28 17:20:12
126,1638168672000.0,0.0,2021-11-29 06:51:12,2021-11-28 17:21:12
127,1638168732000.0,0.0,2021-11-29 06:52:12,2021-11-28 17:22:12
128,1638168792000.0,0.0,2021-11-29 06:53:12,2021-11-28 17:23:12
129,1638168852000.0,0.0,2021-11-29 06:54:12,2021-11-28 17:24:12
130,1638168912000.0,0.0,2021-11-29 06:55:12,2021-11-28 17:25:12
131,1638168972000.0,0.0,2021-11-29 06:56:12,2021-11-28 17:26:12
132,1638169032000.0,0.0,2021-11-29 06:57:12,2021-11-28 17:27:12
133,1638169092000.0,0.0,2021-11-29 06:58:12,2021-11-28 17:28:12
134,1638169152000.0,0.0,2021-11-29 06:59:12,2021-11-28 17:29:12
135,1638169212000.0,0.0,2021-11-29 07:00:12,2021-11-28 17:30:12
136,1638169272000.0,0.0,2021-11-29 07:01:12,2021-11-28 17:31:12
137,1638169332000.0,0.0,2021-11-29 07:02:12,2021-11-28 17:32:12
138,1638169392000.0,0.0,2021-11-29 07:03:12,2021-11-28 17:33:12
139,1638169452000.0,0.0,2021-11-29 07:04:12,2021-11-28 17:34:12
140,1638169512000.0,0.0,2021-11-29 07:05:12,2021-11-28 17:35:12
141,1638169572000.0,0.0,2021-11-29 07:06:12,2021-11-28 17:36:12
142,1638169632000.0,0.0,2021-11-29 07:07:12,2021-11-28 17:37:12
143,1638169692000.0,0.0,2021-11-29 07:08:12,2021-11-28 17:38:12
144,1638169752000.0,0.0,2021-11-29 07:09:12,2021-11-28 17:39:12
145,1638169812000.0,0.0,2021-11-29 07:10:12,2021-11-28 17:40:12
146,1638169872000.0,0.0,2021-11-29 07:11:12,2021-11-28 17:41:12
